UF,RS
Cidade,SANTA MARIA
Nome Posto,SANTA MARIA
Latitude,-29.724166666666665
Longitude,-53.72
Codigo,2953017
Qtd. Anos,51
Ano,Maxima
1939,70
1940,121.8
1941,180
1942,114.6
1943,106.5
1944,182.3
1945,67.3
1946,101.7
1947,103.5
1948,80.4
1949,74.6
1950,76.5
1951,83.9
1952,91.5
1953,68.8
1954,106.8
1955,149
1956,92
1957,144.8
1958,101.2
1959,98.3
1960,96.1
1961,96.5
1962,64
1963,103
1964,89
1965,120
1966,98
1967,67.4
1968,70.4
1969,88.3
1970,66.1
1975,93.7
1976,105.2
1977,99.4
1978,68.3
1979,23.7
1980,22.4
1981,93.1
1982,145
1983,89.4
1984,182.2
1985,85.4
1991,99.2
1992,87.6
1993,86.2
1994,136.6
1995,78.2
1996,70
1997,93.6
1998,136.3
