UF,RS
Cidade,SANTANA DO LIVRAMENTO
Nome Posto,CATY
Latitude,-30.525555555555556
Longitude,-56.17222222222222
Codigo,3056007
Qtd. Anos,37
Ano,Maxima
1983,159.2
1984,130.4
1985,101.1
1986,102.4
1987,129
1988,65.3
1989,57.2
1990,156
1991,149.5
1992,104
1993,155
1994,93
1995,95.7
1996,110
1997,98
1998,132.6
1999,77.3
2000,78.3
2001,147
2002,141.6
2003,124.3
2004,88.5
2005,55.3
2007,21.5
2008,70.5
2009,65.5
2010,120
2011,95
2012,100.2
2013,164.6
2014,126.7
2015,170.2
2016,101
2017,148
2018,94
2019,117.7
2020,47.5
