UF,RS
Cidade,CHAPADA
Nome Posto,CHAPADA
Latitude,-28.058611111111112
Longitude,-53.066111111111105
Codigo,2853026
Qtd. Anos,44
Ano,Maxima
1977,104.3
1978,77.5
1979,98.4
1980,97.2
1981,66
1982,93.1
1983,128.4
1984,116.2
1985,112
1986,110
1987,117
1988,96
1989,139.2
1990,85.2
1991,80.3
1992,152.3
1993,105
1994,85.1
1995,117
1996,92.2
1997,135.3
1998,85
1999,62.4
2000,113.1
2001,81.2
2002,69
2003,118
2004,92.1
2005,82.1
2006,80.7
2007,96.8
2008,65
2009,49.5
2010,120
2011,123.9
2012,159
2013,73
2014,122.2
2015,139.5
2016,108
2017,137
2018,74.8
2019,102.1
2020,57
