UF,RS
Cidade,URUGUAIANA
Nome Posto,PLANO ALTO
Latitude,-29.76527777777778
Longitude,-56.521388888888886
Codigo,2956007
Qtd. Anos,77
Ano,Maxima
1943,86
1944,95
1945,95
1946,125
1947,128
1948,135
1949,120
1950,95
1951,120
1952,132
1953,120
1954,199
1955,189
1956,168
1957,225
1958,180
1959,200
1960,200
1961,230
1962,105
1963,131.2
1964,90
1965,106
1966,120
1967,138.3
1968,84
1969,192
1970,120
1971,92
1972,119
1973,128
1974,95
1975,86.3
1976,77.3
1977,135
1978,135
1979,80.1
1980,120.1
1981,74.1
1982,149.2
1983,185.2
1984,145
1985,121
1986,104
1987,124.1
1988,64.5
1989,119.9
1990,75.9
1991,104
1993,167
1994,63.4
1995,127
1996,146.6
1997,155.8
1998,140
1999,106.9
2000,136.5
2001,108
2002,126
2003,142
2004,88.2
2005,132
2006,57
2007,92.8
2008,121.3
2009,96.5
2010,66.9
2011,147
2012,74.2
2013,172.2
2014,121.9
2015,94
2016,65.5
2017,125
2018,103.4
2019,205.5
2020,24.4
