UF,RS
Cidade,CANDELARIA
Nome Posto,BOTUCARAI
Latitude,-29.712777777777777
Longitude,-52.89
Codigo,2952003
Qtd. Anos,56
Ano,Maxima
1965,75
1966,116
1967,83.6
1968,112.4
1969,93
1970,79.4
1971,65.8
1972,97.4
1973,114.4
1974,94.4
1975,68.6
1976,80.2
1977,97.2
1978,91.8
1979,96.4
1980,63.2
1981,84.2
1982,143
1983,70.4
1984,109.5
1985,77.2
1986,143.8
1987,100.3
1988,62.3
1989,63.2
1990,73.7
1991,123.7
1992,107.6
1993,123.2
1994,116.8
1995,86
1996,107.3
1997,75.4
1998,94.7
1999,95.3
2000,72.6
2001,81.6
2002,76.1
2003,94.8
2004,65.8
2005,98.2
2006,75.9
2007,79.3
2008,88.1
2009,75.3
2010,64.3
2011,96.3
2012,103.8
2013,132.9
2014,149.2
2015,155.7
2016,94.6
2017,94.3
2018,92.4
2019,96.4
2020,79.6
