UF,RS
Cidade,ITATIBA DO SUL
Nome Posto,ITATIBA DO SUL
Latitude,-27.38888888888889
Longitude,-52.45444444444445
Codigo,2752017
Qtd. Anos,45
Ano,Maxima
1976,108
1977,107.6
1978,90.4
1979,189
1980,65.5
1981,83
1982,86.4
1983,148
1984,89
1985,141
1986,77
1987,108.4
1988,58.4
1989,97
1990,213.3
1991,76.1
1992,143
1993,201.7
1994,135.5
1995,78.5
1996,71.2
1997,89.8
1998,111
1999,126.5
2000,87.5
2001,89.7
2002,71
2003,67
2004,58
2005,105
2006,98
2007,79.3
2008,95.7
2009,78
2010,105.8
2011,79.5
2012,74.1
2013,92.2
2014,142.8
2015,92.3
2016,130.6
2017,93.6
2018,71.2
2019,139
2020,34
