UF,RS
Cidade,COQUEIROS DO SUL
Nome Posto,COLONIA XADREZ
Latitude,-28.189166666666665
Longitude,-52.74583333333334
Codigo,2852007
Qtd. Anos,75
Ano,Maxima
1944,95.3
1945,90.2
1946,107.7
1947,98.2
1948,77.2
1949,97.3
1950,65.6
1951,56.7
1952,84
1953,129.5
1954,86
1955,93
1956,115.2
1957,87.4
1958,86.2
1959,121.2
1960,102.5
1961,94
1962,59.1
1963,59.1
1965,100.6
1966,116.5
1967,46.2
1968,67.1
1969,93.6
1970,164
1971,94
1972,211.8
1973,94
1974,88.8
1975,91.6
1976,91.6
1977,88.4
1978,112.1
1979,89.3
1980,92.1
1981,61.8
1982,113.9
1983,84
1984,98.5
1985,89.3
1986,119
1987,167.5
1988,91.8
1989,122.9
1990,122.6
1991,78.1
1992,140.2
1993,90.7
1994,85.8
1995,126
1996,85.3
1997,121.2
1998,152.7
1999,78.5
2000,84.7
2001,109.3
2002,131
2003,99.7
2004,88.7
2005,123.6
2006,77.3
2007,148.5
2008,67.7
2009,65.9
2010,110
2011,134
2012,100.3
2013,73.1
2014,130
2015,106.4
2016,78
2017,122.2
2018,80.4
2019,98
