UF,RS
Cidade,TUPANCIRETA
Nome Posto,SAO BERNARDO
Latitude,-28.905277777777776
Longitude,-54.065
Codigo,2854013
Qtd. Anos,38
Ano,Maxima
1983,125
1984,81.4
1985,105
1986,137.6
1987,125.6
1988,130.2
1989,136.3
1990,138.6
1991,104
1992,104
1993,145.2
1994,158.3
1995,98.8
1996,105.3
1997,127
1998,84.5
1999,79.1
2000,88.9
2001,75
2002,103
2003,147.3
2004,94.5
2005,91.8
2006,104.2
2007,71.5
2008,84.5
2009,87.5
2010,122.3
2011,80
2012,178.5
2013,75.6
2014,100.5
2015,136
2016,76.3
2017,90
2018,164
2019,94.5
2020,36.4
