UF,RS
Cidade,GUAIBA
Nome Posto,GUAIBA COUNTRY CLUB
Latitude,-30.10666666666667
Longitude,-51.64888888888889
Codigo,3051005
Qtd. Anos,53
Ano,Maxima
1967,112
1968,42.2
1969,56.8
1970,108.3
1971,99.2
1972,49
1973,73.3
1974,116
1975,70.3
1976,100.2
1977,80.2
1978,86.8
1979,70.8
1980,139
1981,76.4
1982,92.3
1983,74
1984,24.8
1985,46.4
1986,73.7
1987,66.7
1988,71.1
1989,72.2
1990,124.5
1991,52.3
1992,54.1
1993,172.5
1994,56.3
1995,75.7
1996,62.4
1997,92.3
1998,70.3
1999,72
2000,67.9
2001,119.9
2002,96.3
2003,66.3
2004,80.7
2005,160.9
2006,165
2007,94.3
2008,53.1
2009,43.3
2010,90
2011,52.9
2012,63.7
2013,109
2014,43.9
2015,85.7
2016,112
2017,92.2
2018,76.3
2019,84.9
