UF,RS
Cidade,SAO LOURENCO DO SUL
Nome Posto,SAO LOURENCO DO SUL
Latitude,-31.3675
Longitude,-51.986666666666665
Codigo,3151003
Qtd. Anos,66
Ano,Maxima
1943,89
1944,116.8
1945,87.6
1946,72
1947,60
1948,78
1949,60
1950,99.5
1951,125
1952,163
1965,10.6
1966,100.3
1967,200.5
1968,115.6
1969,92
1970,107.2
1971,81.2
1972,119.8
1973,66.6
1974,76.2
1975,81.6
1976,87.8
1977,169.2
1978,80.1
1979,99.2
1980,79
1981,65.1
1982,64.1
1983,75.2
1984,68.8
1985,64.8
1986,302.7
1987,116
1988,62
1989,69.8
1990,118.2
1991,153.6
1992,127.6
1993,114.4
1994,79.6
1995,94.5
1996,56.2
1997,65
1998,135.4
1999,66.5
2000,79.8
2001,85.9
2002,127.5
2003,124.4
2004,108.3
2005,66.4
2006,104
2007,104
2008,136.5
2009,113.4
2010,66
2011,71.6
2012,75.3
2013,116.6
2014,98.4
2015,105.3
2016,136.3
2017,105.1
2018,81.5
2019,97.3
2020,28.3
