UF,RS
Cidade,SOLEDADE
Nome Posto,AULER
Latitude,-28.80388888888889
Longitude,-52.38166666666667
Codigo,2852004
Qtd. Anos,55
Ano,Maxima
1963,76
1964,70.2
1965,93.2
1966,80
1967,97.4
1968,64.2
1969,69.8
1970,89.4
1971,131
1972,120
1973,94.6
1974,101.6
1975,114.4
1976,81.4
1977,101.4
1978,105.2
1979,71
1980,91.8
1981,64.8
1982,103
1983,125
1984,162.6
1985,84.4
1986,83.6
1987,102.4
1988,106.4
1989,100.4
1990,82.8
1991,103.4
1992,77
1993,102.6
1994,122.2
1995,78
1996,100
1997,96
1998,100
1999,85
2000,98
2001,112
2002,97
2003,110.6
2004,60.4
2005,119
2006,110
2007,116
2008,112
2009,98
2010,131
2011,134
2012,110.4
2016,144.5
2017,130
2018,88
2019,68
2020,44
