UF,RS
Cidade,SAO BORJA
Nome Posto,PASSO DO NOVO
Latitude,-28.678055555555556
Longitude,-55.58111111111111
Codigo,2855004
Qtd. Anos,43
Ano,Maxima
1978,100.2
1979,102.8
1980,108.2
1981,88
1982,135
1983,125.4
1984,136
1985,124
1986,152
1987,120
1988,85.2
1989,88.8
1990,130.4
1991,91.2
1992,75
1993,101.4
1994,113
1995,71.2
1996,182
1997,139
1998,97.2
1999,95.6
2000,99
2001,111.2
2002,112.8
2003,106.6
2004,69.9
2005,114.1
2006,72.1
2007,114.9
2008,142.1
2009,91.4
2010,95.1
2011,161.9
2012,90.9
2013,107.6
2014,125.8
2015,92.9
2016,101
2017,131.4
2018,104.3
2019,158.3
2020,51.2
