UF,RS
Cidade,NOVA PRATA
Nome Posto,PRATA
Latitude,-28.75611111111111
Longitude,-51.62833333333333
Codigo,2851024
Qtd. Anos,76
Ano,Maxima
1944,5.5
1945,33
1946,36
1947,44
1948,201.2
1949,102.1
1950,110.2
1951,53.3
1952,64.1
1953,75.1
1954,75.6
1955,70
1956,128.1
1957,74.2
1958,60
1959,140
1960,80.3
1961,140.3
1962,58.2
1964,67.4
1965,174
1966,78.3
1967,84
1968,61.1
1969,68.4
1970,91.1
1971,80
1972,75
1973,107
1974,63
1975,84.4
1976,70
1977,93
1978,87
1979,65
1980,97.9
1981,68.2
1982,73.2
1983,90.2
1984,87
1985,70
1986,84.2
1987,140
1988,90
1989,91
1990,91
1991,75
1992,72
1993,76
1994,79
1995,55.5
1996,76.8
1997,108.2
1998,182.5
1999,53.7
2000,72.5
2001,141
2002,79.5
2003,108.8
2004,69.8
2005,97.1
2006,124
2007,119.6
2008,79.9
2009,60.4
2010,132.5
2011,119.4
2012,85.7
2013,71.8
2014,86
2015,87.8
2016,72.7
2017,96.2
2018,67.3
2019,110.9
2020,44.5
