UF,RS
Cidade,CAMBARA DO SUL
Nome Posto,CAMISAS
Latitude,-29.108333333333334
Longitude,-50.1875
Codigo,2950008
Qtd. Anos,71
Ano,Maxima
1946,84
1947,70
1948,40
1949,105.2
1950,112.5
1951,140.2
1952,77
1953,110.6
1954,114
1955,98.5
1956,102.5
1957,98
1958,91
1959,82.5
1960,58
1961,59
1962,56
1963,81.5
1964,75.5
1965,139.5
1966,79.6
1967,128.5
1968,60.3
1969,89
1970,73.8
1971,68.2
1972,84.7
1973,73.6
1974,64.4
1975,61.8
1976,101.9
1977,91.9
1978,55.2
1979,55.3
1980,105.2
1981,76.9
1982,123.2
1983,88.7
1984,76.6
1985,53.5
1986,70.5
1987,69.5
1988,140
1989,80
1990,70.6
1991,60.5
1992,63
1993,79.5
1994,84
1995,53.5
1996,50
1997,91.5
1998,84
1999,51
2000,76.5
2001,82
2002,62
2003,122.5
2004,97
2005,79
2006,64.3
2007,100.5
2008,99.3
2009,101.9
2010,67.8
2011,84.6
2012,85.4
2016,91.7
2017,78.2
2018,100.8
2019,70.3
