UF,RS
Cidade,IRAI
Nome Posto,IRAI
Latitude,-27.18888888888889
Longitude,-53.25333333333333
Codigo,2753019
Qtd. Anos,72
Ano,Maxima
1939,72.8
1940,76.8
1941,136.7
1942,64.5
1943,113.7
1944,91.6
1945,79.9
1946,68.1
1947,119.5
1948,81.8
1949,68
1950,83.8
1951,116.9
1952,74.8
1953,122.3
1954,119.2
1955,87.3
1956,90.8
1957,105.5
1958,75.5
1959,96.4
1960,76
1961,98
1962,98
1963,102
1964,78.2
1965,135.8
1966,73.5
1967,80.3
1968,98.2
1969,99
1970,92.8
1975,108.3
1976,104.3
1977,108.3
1978,101.6
1980,52.2
1981,96.4
1982,89.1
1983,110
1984,75
1985,143.8
1991,91
1992,115.2
1993,84.2
1994,109.2
1995,69.8
1996,88.2
1997,94
1998,115
1999,102
2000,142.6
2001,65.5
2002,76.7
2003,70
2004,64.8
2005,101
2006,78.8
2007,88.6
2008,131.7
2009,67.2
2010,119.9
2011,99.7
2012,83.5
2013,67.1
2014,101.2
2015,120.5
2016,180.2
2017,110.7
2018,119.2
2019,110.7
2020,60.6
