UF,RS
Cidade,CAMAQUA
Nome Posto,PACHECA
Latitude,-31.130277777777778
Longitude,-51.78861111111111
Codigo,3151002
Qtd. Anos,45
Ano,Maxima
1976,41.2
1977,82.6
1978,55.2
1979,63.5
1980,82.5
1981,62.5
1982,71.5
1983,61.5
1984,61.2
1985,85.5
1986,82.5
1987,135.2
1988,76.2
1989,118.5
1990,60.2
1991,40
1992,75
1993,104
1994,777
1995,127
1996,76
1997,99.8
1998,117.3
1999,52.2
2000,56.4
2001,80.5
2002,104.3
2003,124
2004,93.7
2005,84.9
2006,95.8
2007,145.4
2008,67.6
2009,151.3
2010,64.3
2011,54.6
2012,110
2013,97.3
2014,68.2
2015,154
2016,79.5
2017,99.1
2018,59.9
2019,84.7
2020,69.1
