UF,RS
Cidade,NAO-ME-TOQUE (CAMPO REAL)
Nome Posto,NAO-ME-TOQUE
Latitude,-28.455277777777777
Longitude,-52.81583333333333
Codigo,2852050
Qtd. Anos,36
Ano,Maxima
1985,77.4
1986,75
1987,185
1988,79.5
1989,109.9
1990,101.9
1991,88.1
1992,136.7
1993,103
1994,81.1
1995,55.9
1996,79
1997,131.6
1998,96.6
1999,123.2
2000,136.7
2001,108.3
2002,137.3
2003,115.3
2004,210.2
2005,125.1
2006,121
2007,105.1
2008,71.2
2009,63.1
2010,128.2
2011,134
2012,105.2
2013,72.9
2014,123.2
2015,130.6
2016,70.9
2017,131.2
2018,115.9
2019,109.7
2020,40.4
