UF,RS
Cidade,JAGUARI
Nome Posto,FURNAS DO SEGREDO
Latitude,-29.35888888888889
Longitude,-54.50194444444445
Codigo,2954005
Qtd. Anos,55
Ano,Maxima
1966,50.6
1967,106.6
1968,116.1
1969,106.1
1970,125.8
1971,95.2
1972,155
1973,154.2
1974,83.8
1975,70
1976,100.6
1977,96.8
1978,80
1979,97
1980,104.4
1981,66
1982,127.6
1983,100.2
1984,226.6
1985,93.8
1986,100
1987,155.4
1988,84.2
1989,112
1990,85.8
1991,112
1992,82.4
1993,87.3
1994,94
1995,80
1996,94.2
1997,114.3
1998,175.7
1999,118.9
2000,115.9
2001,143.8
2002,127.6
2003,143.1
2004,71.3
2005,106.1
2006,82.3
2007,127
2008,92.3
2009,94.2
2010,82.3
2011,87.2
2012,131.1
2013,100
2014,160
2015,150.7
2016,123.1
2017,104.1
2018,130.1
2019,183.2
2020,41
