UF,RS
Cidade,PALMEIRA DAS MISSOES
Nome Posto,PALMEIRA DAS MISSOES
Latitude,-27.91333333333333
Longitude,-53.31083333333333
Codigo,2753015
Qtd. Anos,45
Ano,Maxima
1976,100.4
1977,112.2
1978,75
1979,75.2
1980,112
1981,80.2
1982,82.2
1983,94.3
1984,135.3
1985,98.7
1986,80.8
1987,100.4
1988,110
1989,128.7
1990,138.5
1991,100.2
1992,136.2
1993,78.4
1994,148
1995,100.5
1996,104
1997,135
1998,84.5
1999,73.5
2000,67.7
2001,65.4
2002,74.6
2003,89.2
2004,65.3
2005,89.3
2006,116.8
2007,89.2
2008,89.2
2009,76.7
2010,80.5
2011,98.6
2012,104
2013,90.3
2014,122.7
2015,90.4
2016,68.1
2017,126.1
2018,91.4
2019,120.6
2020,77.8
