UF,RS
Cidade,AMARAL FERRADOR
Nome Posto,PASSO SAO JOSE
Latitude,-30.886388888888888
Longitude,-52.24861111111111
Codigo,3052009
Qtd. Anos,73
Ano,Maxima
1943,28.3
1944,96.1
1945,64.6
1948,95.8
1949,99
1950,91
1951,78
1952,137
1953,87.6
1954,96.2
1955,77
1956,100
1957,89.7
1958,84.9
1959,84.8
1960,70.3
1961,80
1962,75.3
1963,175.2
1964,70
1965,82
1966,122.2
1967,99
1968,87.5
1969,75.3
1970,73.9
1971,60
1972,140
1973,147
1974,80.9
1975,114.2
1976,56.6
1977,83
1978,47
1979,71
1980,55
1981,81
1982,68
1983,78.3
1984,75.4
1985,72
1986,178
1987,140
1988,69
1989,71.3
1990,103.4
1991,84
1992,142.1
1993,70.2
1994,94.2
1995,100.5
1996,48.2
1997,94.1
1998,125
1999,70.1
2000,80.2
2001,80.2
2002,104
2003,63.2
2004,63.2
2005,78.2
2006,73.2
2007,118
2008,51.7
2009,79.2
2010,131.6
2011,100
2012,60.2
2016,80
2017,91.1
2018,103.5
2019,60
2020,59.5
