UF,RS
Cidade,HERVAL
Nome Posto,HERVAL
Latitude,-32.02861111111111
Longitude,-53.397777777777776
Codigo,3253004
Qtd. Anos,54
Ano,Maxima
1966,26.3
1968,79.2
1969,130
1970,102
1971,57.4
1972,113.4
1973,67
1974,146.3
1975,103
1976,98
1977,100
1978,73
1979,78
1980,84
1981,100
1982,79
1983,116
1984,87.5
1985,74
1986,125
1987,77.5
1988,86.5
1989,51
1990,88
1991,95
1992,112
1993,86
1994,138
1995,98
1996,79.2
1997,107.5
1998,94.5
1999,55.3
2000,93.5
2001,92.7
2002,98.7
2003,88.8
2004,101.1
2005,87.6
2006,78.4
2007,139.6
2008,116.2
2009,117.2
2010,70.2
2011,87.5
2012,63.1
2013,82.5
2014,96.9
2015,132.1
2016,97.9
2017,120
2018,75.5
2019,64.9
2020,18.3
