UF,RS
Cidade,MIRAGUAI
Nome Posto,MIRAGUAI
Latitude,-27.500833333333333
Longitude,-53.692499999999995
Codigo,2753016
Qtd. Anos,45
Ano,Maxima
1976,96
1977,78
1978,51.4
1979,135.1
1980,111.8
1981,100.8
1982,100.2
1983,133.6
1984,138.8
1985,150
1986,109
1987,82.4
1988,115.6
1989,206.1
1990,122.6
1991,85.8
1992,125.4
1993,88
1994,153.7
1995,138.6
1996,101
1997,126.1
1998,138.1
1999,106.5
2000,99
2001,83.5
2002,101.7
2003,151.9
2004,69.1
2005,140
2006,126.3
2007,134.4
2008,90
2009,102.5
2010,119.3
2011,157.5
2012,83.5
2013,110
2014,128
2015,163
2016,134.3
2017,118.8
2018,117
2019,123
2020,50
