UF,RS
Cidade,TUCUNDUVA
Nome Posto,TUCUNDUVA
Latitude,-27.674166666666668
Longitude,-54.462500000000006
Codigo,2754009
Qtd. Anos,45
Ano,Maxima
1976,75.8
1977,81.8
1978,70.2
1979,133
1980,112
1981,76
1982,119
1983,130
1984,112
1985,83
1986,140
1987,98
1988,96
1989,107.3
1990,140.2
1991,183
1992,107.2
1993,170.3
1994,95.6
1995,147
1996,83.2
1997,144
1998,119.1
1999,79.7
2000,76
2001,76.7
2002,109.5
2003,130.2
2004,58.9
2005,95.4
2006,110
2007,59.9
2008,66.3
2009,111.5
2010,89.7
2011,118.5
2012,58.7
2013,101
2014,114
2015,92.3
2016,106.7
2017,132
2018,120
2019,87.4
2020,72.2
