UF,RS
Cidade,SAO VENDELINO
Nome Posto,SAO VENDELINO
Latitude,-29.366388888888892
Longitude,-51.37111111111111
Codigo,2951027
Qtd. Anos,51
Ano,Maxima
1970,102.2
1971,95
1972,86.6
1973,95.4
1974,87.4
1975,78.4
1976,50.2
1977,70.2
1978,80.2
1979,92.4
1980,112.4
1981,123
1982,130.1
1983,73.4
1984,107.4
1985,120.2
1986,117
1987,135.2
1988,82.2
1989,71
1990,111.2
1991,70.1
1992,69.2
1993,217.3
1994,76.1
1995,73.3
1996,98.1
1997,103.3
1998,62.4
1999,100
2000,141
2001,138.6
2002,71.3
2003,147.6
2004,67.8
2005,73.7
2006,126
2007,63.4
2008,90.3
2009,112
2010,54.5
2011,123.3
2012,140.5
2013,88.6
2014,92
2015,93
2016,118
2017,120
2018,75
2019,83.5
2020,27.9
