UF,RS
Cidade,PIRATINI
Nome Posto,ESTACAO EXPERIMENTAL DE PIRATINI
Latitude,-31.430833333333336
Longitude,-53.10777777777778
Codigo,3153021
Qtd. Anos,42
Ano,Maxima
1979,84
1980,106.4
1981,75.8
1982,77
1983,278
1984,67.9
1985,82.3
1986,146.3
1987,113.5
1988,64.6
1989,55
1990,76
1991,143
1992,146.7
1993,145
1994,85
1995,97
1996,60.3
1997,119.5
1998,87.9
1999,50.2
2000,127.3
2001,157.1
2002,94.1
2003,75.6
2004,115
2005,72.2
2006,85.1
2007,71.5
2008,80.7
2009,66.7
2010,49.6
2011,66.6
2012,143
2013,67.7
2014,87.5
2015,87.9
2016,71.4
2017,117.6
2018,83
2019,67.4
2020,24.3
