UF,RS
Cidade,SAO LUIZ GONZAGA
Nome Posto,SAO LUIZ GONZAGA
Latitude,-28.4
Longitude,-54.96666666666667
Codigo,2854011
Qtd. Anos,78
Ano,Maxima
1912,57
1913,99.8
1914,151.5
1915,110.2
1916,122.6
1917,46.2
1918,120.9
1919,126.2
1920,310
1921,76.9
1922,114.8
1923,105.8
1924,79.2
1925,147.8
1926,132.4
1927,101.7
1928,148.5
1929,134.1
1930,99
1931,85
1932,124
1933,120.5
1934,143
1935,97
1936,120
1937,96.3
1938,108
1939,131.5
1940,108
1941,97
1942,75
1943,93.2
1944,83
1945,128.2
1946,116.1
1947,99
1948,74
1949,48.8
1950,122.9
1951,89.3
1952,70.6
1953,123.5
1954,97.1
1955,162.3
1956,70.9
1957,119.5
1958,77.7
1959,107.4
1960,80.4
1961,108.3
1962,89.4
1963,77.3
1964,113.8
1965,166.2
1966,107.2
1967,74.7
1968,130.3
1969,92.4
1970,110
1975,114.6
1976,93.1
1977,75.6
1978,97.7
1980,18.7
1981,91.7
1982,115.3
1983,150.3
1984,99.2
1985,123.7
1988,29.9
1991,83.4
1992,114.2
1993,104.8
1994,99.8
1995,79
1996,103
1997,74.1
1998,92.4
