UF,RS
Cidade,BAGE
Nome Posto,BAGE
Latitude,-31.304722222222225
Longitude,-54.11972222222222
Codigo,3154001
Qtd. Anos,81
Ano,Maxima
1912,110.2
1913,62.3
1914,166
1915,89.9
1916,71.1
1917,58.4
1918,85
1919,117.2
1920,150.8
1921,66.5
1922,69
1923,88.8
1924,58
1925,76
1926,60
1927,60
1928,80
1929,79
1930,86.2
1931,153.5
1932,99.5
1933,84
1934,96.1
1935,60.5
1936,102.7
1937,87
1938,69
1939,93
1940,105.4
1941,106.1
1942,78.6
1943,117.4
1944,72.5
1945,60.8
1946,60.3
1947,104.8
1948,108.7
1949,99.2
1950,76.3
1951,56
1952,89.9
1953,121.2
1954,107.4
1955,67.8
1956,52.2
1957,71.8
1958,53
1959,195.2
1960,60.3
1961,89.9
1962,98.6
1963,125.5
1964,44.6
1965,66.6
1966,62
1967,110.2
1968,89.9
1969,63.4
1970,95.6
1971,60.6
1975,98
1976,64.2
1977,127.1
1978,93.6
1979,95.2
1980,97.2
1981,63
1982,66.6
1983,263
1984,73.3
1985,84.1
1988,61.7
1989,49.2
1991,79.8
1992,64.6
1993,118.2
1994,91.4
1995,95.4
1996,82
1997,88.4
1998,106.8
