UF,RS
Cidade,SANTA VITORIA DO PALMAR
Nome Posto,GRANJA OSORIO
Latitude,-32.95388888888889
Longitude,-53.11888888888889
Codigo,3253003
Qtd. Anos,54
Ano,Maxima
1966,49
1967,78
1968,78.5
1969,62
1970,75.7
1971,91.7
1972,71.5
1973,81.1
1974,76
1975,80
1976,80.2
1977,97
1978,80
1979,101
1980,94.2
1981,118
1982,132.3
1983,96
1984,117
1985,82
1986,88
1987,90
1988,104.2
1989,58.4
1990,83.2
1991,135
1992,100
1993,107.8
1994,95
1995,75
1996,93
1997,120
1998,99.5
1999,91.3
2000,134.3
2001,65.3
2002,136.7
2003,146.6
2004,87.5
2005,115.5
2006,184.2
2007,170.4
2008,93.4
2009,71.3
2010,53.2
2011,86.2
2012,75.7
2013,228.5
2014,147.8
2015,107.1
2016,77.6
2017,116.6
2018,70
2019,113
