UF,RS
Cidade,LAGOA VERMELHA
Nome Posto,LAGOA VERMELHA
Latitude,-28.221944444444443
Longitude,-51.5125
Codigo,2851014
Qtd. Anos,70
Ano,Maxima
1914,82
1915,66.3
1916,69.9
1917,59
1918,66
1919,65
1920,67
1921,57
1922,68
1923,67
1924,60
1925,60
1926,100
1927,78
1928,66
1929,90
1930,86
1931,90
1932,100
1933,77
1934,119
1935,132
1936,90
1937,60
1938,110
1939,99.4
1940,65
1941,108.5
1942,77
1943,84
1944,75
1945,82.4
1946,76.8
1947,86.8
1948,126.8
1949,99.6
1950,97.4
1951,78.7
1952,70.8
1953,102.7
1954,110.4
1955,88.5
1956,104.9
1957,100.1
1958,103
1959,113
1960,105.2
1961,98.6
1962,65.3
1963,109.4
1964,91.2
1965,98.5
1966,71.9
1967,90.4
1968,61.7
1969,91.1
1970,89.7
1971,107.5
1972,103.8
1973,85.2
1974,68.8
1975,74.7
1976,71.4
1977,79.7
1978,73
1981,60.2
1982,18.8
1983,44.8
1984,79.6
1985,89.4
