UF,RS
Cidade,ITATI
Nome Posto,SERRA DO PINTO
Latitude,-29.375833333333333
Longitude,-50.180277777777775
Codigo,2950034
Qtd. Anos,57
Ano,Maxima
1960,27
1961,67
1962,63
1963,70
1964,62
1965,74.2
1966,63.6
1967,98.4
1968,58.6
1969,79
1970,87.4
1971,68.2
1972,78.4
1973,82.4
1974,118.2
1975,90
1976,87.2
1977,60.2
1978,83
1979,76.4
1980,128
1981,80.2
1982,129
1983,81.2
1984,65
1985,61
1986,81.4
1987,76.4
1988,109.6
1989,62.1
1990,78.4
1991,51.2
1992,74
1993,80.6
1994,92
1995,173.3
1996,109.2
1997,130.2
1998,104
1999,64.2
2000,136.2
2001,74.2
2002,57
2003,80
2004,84.2
2005,67.3
2006,34.6
2007,136
2008,168
2009,84.6
2010,75.5
2011,95.3
2012,85.2
2016,56.4
2017,64
2018,114.2
2019,78.1
