UF,RS
Cidade,CRUZ ALTA
Nome Posto,CRUZ ALTA
Latitude,-28.636388888888888
Longitude,-53.599444444444444
Codigo,2853005
Qtd. Anos,52
Ano,Maxima
1939,110.4
1940,105.3
1941,110.6
1942,63.3
1943,87.5
1944,72
1945,80
1946,85.2
1947,149.6
1948,92.9
1949,63
1950,163
1951,115
1952,56
1953,110.6
1954,92.2
1955,106.2
1956,115
1957,118.2
1958,75.2
1959,132.6
1960,129.7
1961,90.5
1962,52.6
1963,69.3
1964,88.5
1965,72.1
1966,71.9
1967,84.9
1968,90.1
1969,78.8
1970,71.3
1972,63.5
1973,75
1975,106.1
1976,76.5
1977,63.8
1978,122.4
1981,76.6
1982,99.7
1983,142
1984,83.1
1985,100.1
1989,8.5
1991,86.7
1992,67.1
1993,71.5
1994,78.3
1995,54
1996,62.3
1997,93.8
1998,96
