UF,RS
Cidade,QUEVEDOS
Nome Posto,QUEVEDOS
Latitude,-29.35138888888889
Longitude,-54.066944444444445
Codigo,2954019
Qtd. Anos,44
Ano,Maxima
1976,77
1977,63.6
1978,69.6
1979,97.8
1980,74
1981,60
1982,112
1983,89.2
1984,224.8
1985,98.4
1986,85.4
1987,96.3
1988,81.7
1989,107.8
1990,107.5
1991,135.1
1992,98
1993,136
1994,121
1995,104.9
1996,105.9
1997,117
1998,145
1999,78
2000,73
2001,84
2002,94.3
2003,114
2004,70.2
2005,106.2
2006,79.1
2007,160.1
2008,122.2
2009,55.1
2010,82.2
2011,62.1
2012,86.2
2013,79.5
2014,111
2015,183
2016,46.8
2017,69.5
2018,114.5
2019,103.2
