UF,RS
Cidade,SANTIAGO
Nome Posto,SANTIAGO
Latitude,-29.186666666666667
Longitude,-54.85583333333334
Codigo,2954020
Qtd. Anos,45
Ano,Maxima
1976,59.5
1977,85.2
1978,126.8
1979,118.6
1980,102.4
1981,108.2
1982,117.1
1983,164.1
1984,185.8
1985,111.8
1986,97.1
1987,155.2
1988,83.2
1989,101.6
1990,170
1991,120
1992,100
1993,89
1994,108.7
1995,113.5
1996,92
1997,118.9
1998,56.6
1999,76.1
2000,102
2001,93.4
2002,140
2003,124.4
2004,66.8
2005,76.3
2006,77.2
2007,189.9
2008,83.5
2009,100.8
2010,79.4
2011,68.7
2012,91
2013,97.3
2014,110
2015,141.6
2016,146.8
2017,112
2018,119.5
2019,151.5
2020,75
