UF,RS
Cidade,SANTIAGO
Nome Posto,ERNESTO ALVES
Latitude,-29.366111111111113
Longitude,-54.73555555555556
Codigo,2954004
Qtd. Anos,62
Ano,Maxima
1959,142.6
1960,88.4
1961,112.1
1962,111.4
1963,84.2
1964,87.8
1965,136.2
1966,86.4
1967,156.8
1968,78.2
1969,144
1970,70.5
1971,71.2
1972,94
1973,135.8
1974,192.4
1975,158
1976,93.6
1977,90.2
1978,95
1979,125
1980,121
1981,68
1982,156
1983,98
1984,112
1985,95.4
1986,144
1987,169
1988,68.5
1989,122
1990,95
1991,128
1992,92
1993,106
1994,94.2
1995,78.6
1996,85
1997,128.5
1998,141
1999,115
2000,72
2001,115
2002,162
2003,107
2004,61
2005,83.2
2006,80.2
2007,135
2008,77.5
2009,63
2010,77.4
2011,66
2012,149.2
2013,87.1
2014,120
2015,195
2016,115
2017,108
2018,92
2019,128.5
2020,50
