UF,RS
Cidade,CERRO GRANDE DO SUL
Nome Posto,CERRO GRANDE
Latitude,-30.593888888888888
Longitude,-51.75666666666667
Codigo,3051004
Qtd. Anos,45
Ano,Maxima
1976,50.2
1977,57.2
1978,105
1979,150.6
1980,136.4
1981,72.2
1982,63
1983,91.2
1984,152.6
1985,78.6
1986,107.4
1987,96
1988,80.8
1989,38
1990,82
1991,98
1992,123
1993,93
1994,70.5
1995,143
1996,76.5
1997,96.7
1998,120
1999,86.3
2000,62.3
2001,81.2
2002,74.9
2003,76.2
2004,94.2
2005,92.5
2006,65
2007,140
2008,152.5
2009,79.3
2010,90
2011,71.2
2012,64.3
2013,75.7
2014,117.9
2015,166.2
2016,118.7
2017,57.3
2018,196.3
2019,84.2
2020,39.7
