UF,RS
Cidade,ESPUMOSO
Nome Posto,DEPOSITO
Latitude,-28.93305555555556
Longitude,-52.8
Codigo,2852009
Qtd. Anos,55
Ano,Maxima
1963,87
1964,72
1965,70
1966,88.8
1967,86.6
1968,85
1969,78.4
1970,102.4
1971,85
1972,104
1973,160.4
1974,120.4
1975,117.6
1976,68.6
1977,106.6
1978,55.2
1979,69.8
1980,72
1981,60.2
1982,140.2
1983,138.4
1984,167.2
1985,77.6
1986,72.6
1987,80.6
1988,86.8
1989,96.8
1990,68.2
1991,112
1992,86.2
1993,91.2
1994,72.6
1995,65.2
1996,110.2
1997,93.2
1998,65
1999,87.2
2000,74
2001,101.2
2002,86.2
2003,107.2
2004,77
2005,92.4
2006,85.4
2007,105
2008,80
2009,114
2010,166
2011,115.4
2012,99.4
2016,96.4
2017,59.3
2018,69.2
2019,65.8
2020,37.2
