UF,RS
Cidade,ITAQUI
Nome Posto,PASSO MARIANO PINTO
Latitude,-29.30888888888889
Longitude,-56.055277777777775
Codigo,2956006
Qtd. Anos,52
Ano,Maxima
1969,63.6
1970,125.6
1971,136.6
1972,173
1973,135.2
1974,175.9
1975,159.6
1976,120.2
1977,142.1
1978,76.6
1979,117.4
1980,72.5
1981,85.6
1982,140.1
1983,131.5
1984,183.2
1985,71.4
1986,92.1
1987,217.4
1988,85.6
1989,71.6
1990,123.2
1991,131.2
1992,42.7
1993,105.1
1994,69
1995,86.6
1996,76.2
1997,182
1998,108.9
1999,85.9
2000,76.3
2001,103.7
2002,126.4
2003,113.8
2004,92.1
2005,123.4
2006,89.7
2007,127.6
2008,93.2
2009,72.8
2010,121.4
2011,92
2012,88.1
2013,95.7
2014,142.6
2015,119
2016,90.2
2017,113.4
2018,132.5
2019,112.6
2020,22.4
