UF,RS
Cidade,SANTO ANTONIO DAS MISSOES
Nome Posto,SANTO ANTONIO DAS MISSOES
Latitude,-28.4925
Longitude,-55.23083333333334
Codigo,2855007
Qtd. Anos,38
Ano,Maxima
1983,94.4
1984,73.8
1985,147.4
1986,93.4
1987,136.2
1988,79.2
1989,95.8
1990,97.8
1991,78.8
1992,120.2
1993,129.8
1994,129.4
1995,80.2
1996,80.2
1997,141.6
1998,89.6
1999,69.1
2000,87.1
2001,120.3
2002,95.6
2003,125.2
2004,96.3
2005,103.4
2006,80.2
2007,144.5
2008,116.4
2009,103.4
2010,82.1
2011,156
2012,101.2
2013,138.9
2014,122.6
2015,169.3
2016,117.8
2017,108.7
2018,93.7
2019,84.6
2020,87
