UF,RS
Cidade,DOM PEDRITO
Nome Posto,TRES VENDAS
Latitude,-31.275277777777777
Longitude,-55.03722222222222
Codigo,3155001
Qtd. Anos,45
Ano,Maxima
1976,50
1977,105
1978,79
1979,81.8
1980,85
1981,72.4
1982,88.6
1983,89
1984,71.2
1985,80
1986,132.6
1987,117.4
1988,109.2
1989,53.8
1990,145.4
1991,123
1992,87.6
1993,155.4
1994,124.2
1995,92.4
1996,83.2
1997,49.4
1998,98.4
1999,72.6
2000,112
2001,150
2002,141.2
2003,107
2004,124
2005,64.8
2006,88.1
2007,62
2008,57.7
2009,70.8
2010,94.4
2011,57.2
2012,96.2
2013,106
2014,86.2
2015,132.2
2016,153
2017,224
2018,117.4
2019,107.8
2020,70.5
