UF,RS
Cidade,CANGUCU
Nome Posto,CANGUCU
Latitude,-31.404444444444444
Longitude,-52.67333333333333
Codigo,3152003
Qtd. Anos,78
Ano,Maxima
1943,70
1944,81
1945,87
1946,107
1947,54
1948,106
1949,53
1950,52.6
1951,70.1
1952,101
1953,100.2
1954,86.1
1955,64.6
1956,30.6
1957,33.2
1958,31.2
1959,95
1960,95
1961,32.1
1962,78.2
1963,90
1964,46.1
1965,82.6
1966,86.2
1967,91.6
1968,48.2
1969,90.4
1970,75.8
1971,67.4
1972,55.8
1973,123.3
1974,64.8
1975,87.4
1976,61.6
1977,88.2
1978,65.6
1979,71.2
1980,68.2
1981,60.2
1982,48.8
1983,105.4
1984,60.8
1985,57.6
1986,98.4
1987,77.8
1988,72.4
1989,55.8
1990,100.3
1991,177.3
1992,110
1993,95
1994,130.8
1995,117.8
1996,76
1997,115.9
1998,130.7
1999,64
2000,75
2001,105
2002,108
2003,76.7
2004,84.5
2005,119.3
2006,69.3
2007,113
2008,70.6
2009,151.1
2010,74.9
2011,75.2
2012,97.5
2013,87.3
2014,85.3
2015,95.7
2016,128.3
2017,133.1
2018,94.8
2019,82.5
2020,33.1
