UF,RS
Cidade,CERRITO
Nome Posto,VILA FREIRE
Latitude,-31.669444444444444
Longitude,-52.772777777777776
Codigo,3152005
Qtd. Anos,45
Ano,Maxima
1976,49
1977,100
1978,55
1979,86.4
1980,100
1981,64.4
1982,68.2
1983,138
1984,76.8
1985,70.6
1986,119.2
1987,84.8
1988,59.4
1989,115
1990,68.4
1991,108.5
1992,87.1
1993,101.1
1994,88.2
1995,114.6
1996,141.6
1997,152.4
1998,86.6
1999,66
2000,118.5
2001,102
2002,98.6
2003,90.5
2004,127.5
2005,64.3
2006,86
2007,76.3
2008,74.3
2009,150.4
2010,62.1
2011,55.8
2012,79.7
2013,140.5
2014,99.5
2015,69
2016,90
2017,96.1
2018,77
2019,83.6
2020,26.4
