UF,RS
Cidade,BARRACAO
Nome Posto,BARRACAO
Latitude,-27.678611111111113
Longitude,-51.45472222222222
Codigo,2751015
Qtd. Anos,43
Ano,Maxima
1978,76.6
1979,72
1980,83.5
1981,68.8
1982,67.2
1983,94
1984,106.4
1985,124.5
1986,81.8
1987,106
1988,80
1989,111.2
1990,174.2
1991,86.6
1992,156.4
1993,85.6
1994,109.2
1995,72.8
1996,74.5
1997,82.9
1998,145.5
1999,81.3
2000,63.1
2001,144.3
2002,55.6
2003,52.1
2004,69.7
2005,100.4
2006,117.2
2007,68.9
2008,76.4
2009,71.2
2010,80.3
2011,101.7
2012,109.4
2013,77.2
2014,140
2015,90.9
2016,76.4
2017,160.8
2018,50.8
2019,109.3
2020,31.8
