UF,RS
Cidade,GLORINHA
Nome Posto,GLORINHA
Latitude,-29.88277777777778
Longitude,-50.788888888888884
Codigo,2950016
Qtd. Anos,43
Ano,Maxima
1976,54
1977,56.6
1978,76.2
1979,52
1980,76
1981,59.2
1982,125
1983,102
1984,113
1985,98.8
1986,86
1987,55
1988,105
1989,97
1990,62
1993,89.6
1994,83.2
1995,53.8
1996,52.8
1997,110.6
1998,61.5
1999,74.5
2000,80.4
2001,79.8
2002,52.6
2003,70.5
2004,76
2005,100.5
2006,46.4
2007,73.8
2008,62.6
2009,91.3
2010,50.5
2011,76.1
2012,109
2013,111
2014,86.7
2015,75.3
2016,126.3
2017,94.5
2018,55.7
2019,87.3
2020,16.7
