UF,RS
Cidade,ANTONIO PRADO
Nome Posto,ANTONIO PRADO
Latitude,-28.853333333333335
Longitude,-51.28444444444444
Codigo,2851003
Qtd. Anos,76
Ano,Maxima
1943,60
1944,63.5
1945,100.9
1946,168
1947,77.2
1948,72.2
1949,84.2
1950,100.2
1951,88.2
1952,72.8
1953,95.2
1954,130.2
1955,70.2
1956,322.6
1957,85.2
1958,76
1959,125
1960,59
1961,70.8
1964,83
1965,100
1966,133
1967,88
1968,82.4
1969,75.6
1970,68.4
1971,65
1972,70
1973,133
1974,109.4
1975,68.6
1976,70
1977,83.4
1978,69
1979,64.9
1980,96.8
1981,68.2
1982,119.1
1983,89.4
1984,75.3
1985,78
1986,71
1987,130
1988,146.4
1989,96.4
1990,91.7
1991,75.5
1992,85.7
1993,64.5
1994,82.4
1995,69.3
1996,113.3
1997,83.4
1998,131.1
1999,51.6
2000,74.6
2001,193.9
2002,86.5
2003,178.3
2004,73.2
2005,70.1
2006,102.5
2007,128.1
2008,116.8
2009,69.4
2010,110.1
2011,121
2012,93.2
2013,66.2
2014,75.6
2015,88.6
2016,120.3
2017,76.1
2018,68.1
2019,102.7
2020,28.6
