UF,RS
Cidade,ARROIO GRANDE
Nome Posto,GRANJA CORONEL PEDRO OSORIO
Latitude,-32.00611111111111
Longitude,-52.65277777777778
Codigo,3252005
Qtd. Anos,55
Ano,Maxima
1966,101
1967,60.1
1968,77.4
1969,75.6
1970,94.2
1971,205.6
1972,82.7
1973,74
1974,107.6
1975,105.4
1976,121.2
1977,113.2
1978,104.2
1979,80.2
1980,105
1981,66.6
1982,69.2
1983,149.2
1984,128.4
1985,67.8
1986,150.2
1987,94.8
1988,49
1989,148.4
1990,137
1991,141
1992,123.2
1993,64.4
1994,76.6
1995,122
1996,55.8
1997,86.8
1998,89.7
1999,67.9
2000,72
2001,82
2002,95
2003,76.1
2004,92.5
2005,97.1
2006,94.2
2007,104.3
2008,88.9
2009,172.7
2010,61
2011,112.3
2012,87.5
2013,69
2014,69
2015,90
2016,133
2017,78
2018,77
2019,137
2020,22.5
