UF,RS
Cidade,CRISTAL
Nome Posto,PASSO DO MENDONCA
Latitude,-31.000555555555554
Longitude,-52.049166666666665
Codigo,3152011
Qtd. Anos,62
Ano,Maxima
1944,66.7
1945,67.9
1946,94.4
1947,60.1
1948,94.4
1964,29.1
1965,140.3
1966,76
1967,90
1968,52.2
1969,83
1970,68
1971,70.8
1972,153
1973,101.4
1974,58.2
1975,94
1976,58.2
1977,146.3
1978,79
1979,60.5
1980,73.4
1981,66.2
1982,52.2
1983,95.2
1984,63.9
1985,91.3
1986,147.3
1987,129.1
1988,75.6
1989,54.5
1990,103.8
1991,83.5
1992,121
1993,116
1994,69.7
1995,168.6
1996,41.5
1997,95.6
1998,124.8
1999,68.3
2000,62.8
2001,78.8
2002,135.9
2003,132.6
2004,79.4
2005,87.6
2006,76.3
2007,81.8
2008,80.3
2009,128.2
2010,77.3
2011,69.5
2012,77
2013,78
2014,63.3
2015,72.9
2016,91.5
2017,92.1
2018,70.3
2019,115.2
2020,65.5
