UF,RS
Cidade,PELOTAS
Nome Posto,GRANJA SAO PEDRO
Latitude,-31.672777777777778
Longitude,-52.17777777777778
Codigo,3152008
Qtd. Anos,54
Ano,Maxima
1966,78.4
1967,67.2
1968,77.2
1969,72.4
1970,90.2
1971,71.6
1972,67.8
1973,83.4
1974,99
1975,98
1976,114.4
1977,132.2
1978,94.2
1979,80.2
1980,127
1981,68.2
1982,78
1983,195.2
1984,91.6
1985,61.2
1986,104
1987,102.7
1988,59
1989,56.9
1990,70.8
1991,76
1992,118.3
1993,110
1994,84
1995,140
1996,67
1997,113
1998,113
1999,56.4
2000,112
2001,90
2002,90
2003,77
2004,98
2005,111.2
2006,99
2007,138
2008,82
2009,98
2010,82.9
2011,57.3
2012,76.2
2013,81
2014,50.8
2015,103.8
2016,81.5
2017,98.7
2018,83
2019,107.5
