UF,RS
Cidade,BARRA DO QUARAI
Nome Posto,BARRA DO QUARAI
Latitude,-30.21333333333333
Longitude,-57.55333333333333
Codigo,3057002
Qtd. Anos,45
Ano,Maxima
1976,91.4
1977,119
1978,105
1979,133
1980,90.2
1981,117
1982,78.2
1983,128
1984,58.2
1985,91
1986,107.8
1987,83.5
1988,115.2
1989,58.3
1990,102
1991,98.5
1992,39.5
1993,117
1994,54.2
1995,98
1996,87.5
1997,91.5
1998,82
1999,75.5
2000,83
2001,74.7
2002,112
2003,87.5
2004,83.5
2005,158
2006,108.5
2007,62
2008,110
2009,77.2
2010,138.7
2011,160
2012,66.7
2013,98.2
2014,110
2015,98.2
2016,92.2
2017,98.2
2018,98.7
2019,140
2020,25.2
