UF,RS
Cidade,VACARIA
Nome Posto,VACARIA
Latitude,-28.516666666666666
Longitude,-50.95
Codigo,2850011
Qtd. Anos,63
Ano,Maxima
1914,66.5
1915,66.4
1916,64.8
1917,68.5
1918,68
1919,68
1920,65
1921,52.5
1922,84.5
1923,70.1
1924,54.6
1925,69
1926,65
1927,68.6
1928,106.7
1929,88
1930,79
1931,56.6
1932,78.8
1933,82.3
1934,67
1935,95.7
1936,74
1937,66.5
1938,56.5
1939,55
1940,72
1941,63
1942,74
1943,56
1944,139
1945,76
1946,69.4
1947,105.7
1948,95
1949,72.2
1950,53.5
1951,70
1952,39
1953,120.7
1954,67
1955,84.9
1956,94.5
1957,70.1
1958,90
1959,89.2
1960,76.3
1961,77
1962,62
1963,77
1964,72.8
1965,123.6
1966,53.3
1967,65.6
1976,65.3
1977,81.5
1978,65.6
1981,49
1982,92
1983,93.6
1984,69.4
1985,65.6
1988,92
