UF,RS
Cidade,GUARANI DAS MISSOES
Nome Posto,PASSO VIOLA
Latitude,-28.211111111111112
Longitude,-54.60305555555556
Codigo,2854006
Qtd. Anos,60
Ano,Maxima
1959,78
1960,73
1961,145
1962,75.2
1963,90.8
1964,93.2
1965,101.2
1966,85
1969,63
1970,119
1971,147.4
1972,147.2
1973,92
1974,112.9
1975,71.4
1976,94.2
1977,93.4
1978,106.3
1979,98.3
1980,116.3
1981,74
1982,129.1
1983,116.1
1984,91
1985,98.1
1986,116
1987,140.3
1988,95.3
1989,125
1990,84.5
1991,141.3
1992,133.4
1993,150.8
1994,122.7
1995,96.5
1996,94.6
1997,119.1
1998,113.5
1999,118
2000,91
2001,66.3
2002,141
2003,131
2004,74.6
2005,141.5
2006,85.6
2007,127.3
2008,124.7
2009,72.1
2010,96.6
2011,106.6
2012,92.7
2013,74.1
2014,126
2015,178.3
2016,103.6
2017,120.2
2018,96.6
2019,88
2020,56.2
