UF,RS
Cidade,CASCA
Nome Posto,PASSO MIGLIAVACA
Latitude,-28.619444444444444
Longitude,-51.86666666666667
Codigo,2851022
Qtd. Anos,64
Ano,Maxima
1957,38.6
1958,90
1959,117
1960,90.6
1961,74.2
1962,42
1963,100
1964,90.6
1965,82.4
1966,85
1967,75.2
1968,57.2
1969,75.2
1970,80.5
1971,105.3
1972,88.3
1973,93.3
1974,85.4
1975,95.4
1976,97.6
1977,84.6
1978,65.4
1979,80.4
1980,72.6
1981,97.6
1982,114.6
1983,146.4
1984,83.2
1985,80.6
1986,77.9
1987,134.3
1988,83.8
1989,88.5
1990,88.3
1991,68.6
1992,84.1
1993,78.5
1994,86.7
1995,53.5
1996,95.3
1997,78.5
1998,92.5
1999,71.5
2000,95.5
2001,180.7
2002,88.2
2003,120.1
2004,98.3
2005,92.3
2006,98.3
2007,113.2
2008,108.5
2009,63.5
2010,135.3
2011,114.3
2012,100.2
2013,73.5
2014,98.6
2015,108.4
2016,70.3
2017,64
2018,67.3
2019,66.5
2020,33.9
