UF,RS
Cidade,CRUZ ALTA
Nome Posto,ANDERSON CLAYTON
Latitude,-28.666666666666668
Longitude,-53.61472222222223
Codigo,2853028
Qtd. Anos,43
Ano,Maxima
1978,75
1979,93.5
1980,81.9
1981,70.5
1982,154.4
1983,162.4
1984,144.6
1985,94.6
1986,115
1987,137
1988,136.2
1989,97.4
1990,74.5
1991,129.3
1992,120
1993,101.5
1994,106.3
1995,81.7
1996,88.3
1997,117.6
1998,98.8
1999,65.3
2000,53.1
2001,68
2002,107.2
2003,99.6
2004,92.3
2005,138.3
2006,83.5
2007,84.3
2008,141.4
2009,132.1
2010,80
2011,94
2012,118.5
2013,73
2014,105.6
2015,118.4
2016,88.3
2017,122.5
2018,112
2019,95.5
2020,118.8
