UF,RS
Cidade,PINHEIRO MACHADO
Nome Posto,PINHEIRO MACHADO
Latitude,-31.5775
Longitude,-53.37694444444445
Codigo,3153008
Qtd. Anos,55
Ano,Maxima
1965,66
1966,109.4
1967,130
1968,107
1969,116
1970,91
1971,68.8
1972,107.8
1973,187
1974,86.2
1975,117.2
1976,64.6
1977,94
1978,107
1979,98
1980,122.2
1981,74.5
1982,72.1
1983,148
1984,93.3
1985,148
1986,100.2
1987,95
1988,67
1989,64
1990,150
1991,120
1992,153
1993,95
1994,83
1995,103
1996,117.2
1997,129.4
1998,56
1999,56.5
2000,91.7
2001,131.1
2002,128.4
2003,95
2004,97.5
2005,64.3
2006,75.5
2007,77.5
2008,59.3
2009,66
2010,56.3
2011,59.4
2012,88.6
2013,97.6
2014,90.9
2015,60
2016,74.7
2017,96
2018,80
2019,91.4
