UF,RS
Cidade,ITAQUI
Nome Posto,CACHOEIRA SANTA CECILIA
Latitude,-29.19611111111111
Longitude,-55.47527777777778
Codigo,2955002
Qtd. Anos,62
Ano,Maxima
1959,99
1960,102.4
1961,108.6
1962,139.6
1963,94.6
1964,90
1965,130.2
1966,90.6
1967,125.6
1968,94.4
1969,130.6
1970,100.2
1971,75
1972,146
1973,141.2
1974,100
1975,228
1976,142
1977,109
1978,136
1979,115
1980,111
1981,62.1
1982,138
1983,117
1984,166
1985,78
1986,150
1987,173
1988,76
1989,91
1990,77
1991,49
1992,124
1993,96
1994,74
1995,94
1996,66
1997,134
1998,175
1999,141
2000,87.3
2001,96
2002,106
2003,186
2004,68
2005,102
2006,86.2
2007,83
2008,89.2
2009,52.9
2010,83
2011,82.8
2012,91
2013,89
2014,169.3
2015,151
2016,66
2017,84.8
2018,136.5
2019,135.5
2020,43
