UF,RS
Cidade,BOA VISTA DO INCRA
Nome Posto,TRES CAPOES
Latitude,-28.82638888888889
Longitude,-53.50194444444445
Codigo,2853015
Qtd. Anos,57
Ano,Maxima
1961,105.6
1962,82.8
1963,73.3
1964,52.5
1965,71.6
1966,54.7
1967,93.4
1968,114.2
1969,70.1
1970,86.1
1971,134.8
1972,118.7
1973,156.9
1974,125.1
1975,127.1
1976,77.2
1977,100.2
1978,92.2
1979,68.4
1980,99.5
1981,64.5
1982,114.8
1983,107.7
1984,176.5
1985,90.2
1986,139
1987,108.1
1988,98.1
1989,133.6
1990,74.2
1991,91.2
1992,77.2
1993,87
1994,86.6
1995,58.6
1996,94
1997,135.7
1998,124
1999,59.2
2000,64.2
2001,83.4
2002,80.4
2003,82
2004,84
2005,80.9
2006,94
2007,89.1
2008,85.3
2009,101
2010,93.5
2011,106.2
2012,129.8
2016,67.5
2017,95.3
2018,145.2
2019,144.1
2020,54.8
