UF,RS
Cidade,SAO LOURENCO DO SUL
Nome Posto,BOQUEIRAO
Latitude,-31.28388888888889
Longitude,-52.08305555555556
Codigo,3152002
Qtd. Anos,55
Ano,Maxima
1966,125.6
1967,75.9
1968,81
1969,80
1970,118.8
1971,70
1972,127
1973,60
1974,71
1975,104
1976,84
1977,145
1978,95
1979,91
1980,106
1981,75
1982,104
1983,135
1984,73
1985,113
1986,122
1987,125
1988,64.8
1989,75
1990,103
1991,147.8
1992,133.6
1993,99
1994,57
1995,145
1996,51
1997,103
1998,121.5
1999,63.5
2000,81.2
2001,78.1
2002,120.1
2003,143.5
2004,88.6
2005,55.1
2006,85
2007,111
2008,105.6
2009,145.5
2010,53.9
2011,229.8
2012,113.2
2013,151.5
2014,94
2015,138.3
2016,120
2017,100.2
2018,99.6
2019,98.5
2020,22.6
