UF,RS
Cidade,CAXIAS DO SUL
Nome Posto,CAXIAS DO SUL
Latitude,-29.19638888888889
Longitude,-51.186388888888885
Codigo,2951008
Qtd. Anos,64
Ano,Maxima
1912,84.5
1913,55.5
1914,84
1915,63.4
1916,95.7
1917,74.6
1918,72
1919,65
1920,60.3
1921,66.5
1922,95.1
1923,72
1924,67
1925,93.2
1926,67
1939,78
1940,80.8
1941,114
1942,139.2
1943,64.5
1944,74.3
1945,74.4
1946,84.3
1947,90.6
1948,66.2
1949,64.1
1950,85
1951,76.7
1952,59.5
1953,95.8
1954,83.7
1955,86.4
1956,168
1957,85.4
1958,92.8
1959,102.8
1960,54.1
1961,80.9
1962,59
1963,83.5
1964,55.5
1965,77.2
1966,97.9
1967,94
1968,57.7
1969,66.9
1970,73.5
1975,82.9
1976,54.6
1977,45.1
1978,44.5
1981,29.7
1983,85.2
1984,71.8
1985,56.8
1989,23.6
1991,14
1992,86.7
1993,94.4
1994,63.2
1995,51.1
1996,56.2
1997,69.4
1998,77.8
