UF,RS
Cidade,TIRADENTES DO SUL
Nome Posto,ALTO URUGUAI
Latitude,-27.301944444444445
Longitude,-54.13944444444444
Codigo,2754001
Qtd. Anos,71
Ano,Maxima
1949,25
1950,102.5
1951,116.2
1952,90.2
1953,96.6
1954,75.7
1955,75.2
1956,50
1957,75
1958,42
1959,37.2
1960,36.4
1961,35.6
1962,35.4
1963,38.4
1964,20
1965,18
1966,24.2
1967,71.4
1968,91.6
1969,85.4
1970,35.4
1971,60.8
1972,255
1973,75.4
1974,65.2
1975,65
1976,63.2
1977,75
1978,80.6
1979,87
1980,90
1981,93.2
1982,93
1983,100.2
1984,95
1985,126
1986,68
1987,89.4
1988,140.3
1989,93
1990,101
1991,92.1
1992,126.2
1993,77.1
1994,90.5
1995,63.3
1996,116.7
1997,148.9
1998,116.6
1999,95.9
2000,68.2
2001,113.8
2002,85.6
2003,90.3
2004,85.3
2005,114.4
2006,119.2
2007,105.8
2008,108.1
2009,49.6
2010,89.2
2011,94.8
2012,73.7
2013,87.6
2014,123.5
2015,137
2016,70
2017,130
2018,83
2019,130
