UF,RS
Cidade,RIO GRANDE
Nome Posto,GRANJA CERRITO
Latitude,-32.35055555555556
Longitude,-52.54
Codigo,3252006
Qtd. Anos,56
Ano,Maxima
1964,68
1965,46.1
1966,90.3
1967,59.6
1968,57.8
1969,53.3
1970,73
1971,83
1972,135
1973,69.2
1974,95
1975,49.6
1976,127.6
1977,97
1978,113
1979,92.2
1980,82.1
1981,73.1
1982,106.3
1983,103
1984,86.4
1985,72.4
1986,92.4
1987,117.4
1988,58.6
1989,99.8
1990,88.4
1991,90.6
1992,70.4
1993,135
1994,93
1995,71.2
1996,89
1997,103.5
1998,130
1999,59
2000,89.3
2001,79
2002,120.3
2003,105.9
2004,116.3
2005,163.5
2006,153
2007,106
2008,123
2009,94.2
2010,81
2011,123
2012,67.2
2013,101
2014,120
2015,154.2
2016,50
2017,181
2018,115.3
2019,61
