UF,RS
Cidade,CACEQUI
Nome Posto,CACEQUI
Latitude,-29.878611111111113
Longitude,-54.82527777777778
Codigo,2954001
Qtd. Anos,78
Ano,Maxima
1943,54.6
1944,88.4
1945,100
1946,116
1947,105.6
1948,86.4
1949,150.4
1950,90.6
1951,78.6
1952,112.3
1953,104.2
1954,93.8
1955,101.4
1956,194.1
1957,99.4
1958,123
1959,154.5
1960,76.2
1961,93
1962,91.4
1963,121
1964,65
1965,125.4
1966,120
1967,63.8
1968,65.6
1969,78.8
1970,137.6
1971,73.2
1972,97.4
1973,110.2
1974,68.6
1975,106.2
1976,52.2
1977,72.2
1978,90.4
1979,75.4
1980,80
1981,70
1982,115.8
1983,90
1984,94.6
1985,120
1986,112.6
1987,136
1988,71.8
1989,90.2
1990,98.6
1991,111
1992,138.4
1993,136.6
1994,61.4
1995,107.8
1996,116
1997,106
1998,203.7
1999,95.4
2000,80.5
2001,98.4
2002,135
2003,138.8
2004,116.8
2005,90.3
2006,82.4
2007,85
2008,81.2
2009,135.4
2010,74.5
2011,136.6
2012,124.7
2013,130.7
2014,122.4
2015,138.7
2016,102.7
2017,108.5
2018,101.5
2019,107.8
2020,102.5
