UF,RS
Cidade,MOSTARDAS
Nome Posto,SOLIDAO
Latitude,-30.668333333333333
Longitude,-50.54083333333333
Codigo,3050007
Qtd. Anos,38
Ano,Maxima
1983,59.6
1984,47.4
1985,51.2
1986,57.4
1987,62
1988,76.7
1989,64.3
1990,63.4
1991,102
1992,47.9
1993,70
1994,61.4
1995,62.2
1996,65.8
1997,73.5
1998,49.6
1999,51.7
2000,140
2001,68.3
2002,85.6
2003,80
2004,50
2005,55
2006,68.3
2007,64.3
2008,72.2
2009,64.4
2010,149.2
2011,58.1
2012,85
2013,88.4
2014,73.7
2015,128.4
2016,74.3
2017,58.9
2018,146.6
2019,73.4
2020,42.1
