UF,RS
Cidade,TRES DE MAIO
Nome Posto,TRES DE MAIO
Latitude,-27.781666666666666
Longitude,-54.240833333333335
Codigo,2754007
Qtd. Anos,56
Ano,Maxima
1961,96
1962,80.4
1963,70
1964,100
1965,110.2
1966,96
1967,70
1968,102.5
1969,93.3
1970,115.7
1971,85.8
1972,114.6
1973,103.4
1974,108.7
1975,109.2
1976,77.2
1977,86.2
1978,57.1
1979,126.2
1980,126.4
1981,64
1982,112.8
1983,95.6
1984,136.8
1985,160
1986,73.1
1987,95.4
1988,85.1
1989,113.4
1990,110.4
1991,146.2
1992,85
1993,59.6
1994,116.4
1995,106.4
1996,84.2
1997,128.4
1998,84.2
1999,65.4
2000,67.2
2001,86.2
2002,106.4
2003,130.4
2004,64.4
2005,105.2
2006,106.2
2007,88.2
2008,121.2
2009,89.2
2010,136.2
2011,91.4
2012,80.6
2016,86.2
2017,90
2018,91.2
2019,50.2
