UF,RS
Cidade,BOM JESUS
Nome Posto,BOM JESUS
Latitude,-28.66861111111111
Longitude,-50.44194444444444
Codigo,2850001
Qtd. Anos,38
Ano,Maxima
1948,56
1949,52.2
1950,121.6
1951,64.5
1952,74.5
1953,112
1954,151.5
1955,76.5
1956,57.1
1957,90.5
1958,75
1959,77.2
1960,43
1961,57.7
1962,44
1963,50.9
1964,14.9
1968,32.7
1969,151.9
1970,130.5
1975,85
1976,74.7
1977,80
1978,75.2
1981,53.7
1982,122.6
1983,101.1
1984,65
1985,54.6
1991,81.4
1992,86.3
1993,63.7
1994,57.7
1995,66.3
1996,73.4
1997,95.2
1998,115
1999,34.8
