UF,RS
Cidade,URUGUAIANA
Nome Posto,FAZENDA JUNCO
Latitude,-30.01888888888889
Longitude,-56.82138888888889
Codigo,3056004
Qtd. Anos,45
Ano,Maxima
1976,50
1977,50
1978,145
1979,153
1980,79
1981,70
1982,100
1983,148
1984,128
1985,110
1986,106
1987,100
1988,91
1989,80
1990,110.1
1991,110
1992,143.3
1993,125
1994,80
1995,68
1996,144
1997,103
1998,90
1999,97
2000,91.1
2001,64
2002,100
2003,156.8
2004,46
2005,125.9
2006,74
2007,110.4
2008,87.3
2009,60
2010,70
2011,200
2012,120
2013,110
2014,100
2015,119.9
2016,97.9
2017,110.4
2018,92.2
2019,225.3
2020,48.1
